Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
Stadtwerke Bad Hersfeld GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-hef.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Bad Kissingen GmbH,8.10%,21.10%,9.10%,1.00%,52.90%,7.70%,99.90%,31.20%,17.20%,44.80%,19.32%,2.12%,16.35%,66.24%,241,0.0002,511.677282377919,https://www.stwkiss.de/strom-bad-kissingen,
Stadtwerke Bad Langensalza GmbH,12.40%,38.40%,17.70%,2.30%,26.80%,2.40%,100.00%,58.40%,16.94%,52.46%,24.18%,3.14%,3.28%,79.78%,458,0.0003,625.68306010929,https://www.swl-badlangensalza.de/strom/produkte-und-preise/stromkennzeichnung/,
Stadtwerke Bad Nauheim GmbH,9.80%,21.90%,1.20%,0.10%,52.90%,14.00%,99.90%,23.20%,20.81%,46.50%,2.55%,0.21%,29.72%,49.26%,232,0.0003,492.569002123142,https://www.stadtwerke-bad-nauheim.de/energieprodukte/stromanbieter.html,
Stadtwerke Bad Neustadt a.d. Saale,10.30%,20.40%,4.90%,0.70%,52.90%,10.80%,100.00%,26.00%,21.87%,43.31%,10.40%,1.49%,22.93%,55.20%,227,0.0003,481.953290870488,https://www.stw-badnes.de/badneustadtGips/BadNeustadt/stw-badnes.de/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung-25.10.2018.pdf,
Stadtwerke Bad Pyrmont Energie & Verkehrs GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-bad-pyrmont.de/leistungen/strom/informationen/stromkennzeichnungen/stromkennzeichnung_2016.htm,nicht aktuell
Stadtwerke Bad Reichenhall KU,3.80%,9.80%,3.60%,0.50%,52.90%,29.40%,100.00%,13.90%,8.07%,20.81%,7.64%,1.06%,62.42%,29.51%,112,0.0001,237.791932059448,https://www.stadtwerke-bad-reichenhall.de/de/veroeffentlichungen/veroeffentlichungen-strom/,
Stadtwerke Bad Rodach,18.00%,23.00%,7.00%,1.00%,51.00%,0.00%,100.00%,31.00%,36.73%,46.94%,14.29%,2.04%,0.00%,63.27%,263,0.0005,536.734693877551,https://www.bad-rodach.de/files/stromkennzeichnung_zusammengestellt_stw_2018.pdf,
Stadtwerke Bad Sachsa GmbH,3.70%,11.60%,6.90%,0.50%,52.90%,24.40%,100.00%,19.00%,7.86%,24.63%,14.65%,1.06%,51.80%,40.34%,139,0.0001,295.116772823779,https://www.stwbadsachsa.de/zusammensetzung-energiemix.html,
Stadtwerke Bad Säckingen GmbH,6.00%,12.90%,12.10%,0.80%,52.90%,15.20%,99.90%,25.80%,12.74%,27.39%,25.69%,1.70%,32.27%,54.78%,172,0.0002,365.180467091295,https://www.sws-energie.de/sws-energie/downloadcenter/index.php,
Stadtwerke Bad Salzuflen GmbH,0.00%,8.40%,14.20%,0.90%,50.10%,26.50%,100.10%,23.50%,0.00%,16.83%,28.46%,1.80%,53.11%,47.09%,249,0.0000,498.997995991984,https://www.stwbs.de/fileadmin/PDFs/Strom/Stromkennzeichung_2017.pdf,
Stadtwerke Bad Saulgau,7.80%,9.50%,3.20%,0.90%,52.90%,25.80%,100.10%,13.60%,16.56%,20.17%,6.79%,1.91%,54.78%,28.87%,97,0.0002,205.944798301486,https://www.bad-saulgau.de/stadtwerke/energie-wasser/strom/stromkennzeichnung/index.php,
Stadtwerke Bad Sooden-Allendorf,8.60%,26.10%,8.50%,1.30%,52.90%,2.60%,100.00%,35.90%,18.26%,55.41%,18.05%,2.76%,5.52%,76.22%,309,0.0002,656.050955414013,https://stadtwerke-bsa.de/stadtwerke/strom-vertrieb/stromkennzeichnung,
Stadtwerke Bad Tölz GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stw-toelz.de/fileadmin/Bilder/Strom/PDF/2018_NEU_Stromkennzeichnung_Stadtwerke_Bad_Toelz.pdf,
Stadtwerke Bad Vilbel GmbH,7.70%,16.80%,2.90%,0.40%,52.90%,19.30%,100.00%,20.10%,16.35%,35.67%,6.16%,0.85%,40.98%,42.68%,177,0.0002,375.796178343949,https://www.sw-bv.de/strom/,
Stadtwerke Bad Wildbad GmbH & Co. KG,15.60%,18.90%,2.50%,1.70%,53.00%,8.30%,100.00%,23.10%,33.19%,40.21%,5.32%,3.62%,17.66%,49.15%,184,0.0004,391.489361702128,https://www.stadtwerke-bad-wildbad.de/strom/stromkennzeichnung.html,
Stadtwerke Bad Windsheim,8.90%,24.40%,8.50%,0.90%,52.90%,4.30%,99.90%,33.80%,18.90%,51.80%,18.05%,1.91%,9.13%,71.76%,269,0.0002,571.125265392781,https://www.sw-bw.de/strom/dokumente/,
Stadtwerke Bad Wörishofen,8.50%,26.30%,9.80%,1.60%,52.90%,0.90%,100.00%,37.70%,18.05%,55.84%,20.81%,3.40%,1.91%,80.04%,307,0.0002,651.804670912951,https://www.swbw.de/alles-ueber-strom/stromkennzeichnung/,
Stadtwerke Baden-Baden,17.50%,21.40%,2.60%,2.00%,52.90%,3.60%,100.00%,26.00%,37.15%,45.44%,5.52%,4.25%,7.64%,55.20%,208,0.0005,441.613588110404,https://www.stadtwerke-baden-baden.de/produkte/Strom/strom.php,
Stadtwerke Balingen,6.40%,28.30%,7.20%,1.20%,52.90%,4.00%,100.00%,36.70%,13.59%,60.08%,15.29%,2.55%,8.49%,77.92%,321,0.0002,681.528662420382,https://www.stadtwerke.balingen.de/de/Energie-Wasser/Strom/Strom/20181023-SWBalingen-Stromkennzeichnung-2017-WEB.pdf,
Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,0.00%,0.00%,0.00%,0.00%,52.80%,47.20%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-bamberg.de/strommix,
Stadtwerke Barmstedt,1.70%,5.20%,1.70%,0.20%,52.90%,38.20%,99.90%,7.10%,3.61%,11.04%,3.61%,0.42%,81.10%,15.07%,60,0.0000,127.388535031847,https://stadtwerke-barmstedt.de/energie-wasser/oekostrom/strommix/,
Stadtwerke Barmstedt Xtra GmbH,1.69%,5.17%,1.68%,0.26%,52.94%,38.26%,100.00%,7.11%,3.59%,10.99%,3.57%,0.55%,81.30%,15.11%,60,0.0000,127.496812579686,https://stadtwerke-barmstedt.de/energie-wasser/oekostrom/strommix/,
Stadtwerke Barsinghausen GmbH,2.20%,6.80%,2.30%,0.30%,45.50%,42.80%,99.90%,9.40%,4.04%,12.48%,4.22%,0.55%,78.53%,17.25%,79,0.0001,144.954128440367,https://www.stadtwerke-barsinghausen.de/produkte/baschestrom/das-produkt/strommix/,
Stadtwerke Barth GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-barth.de/stromkennzeichnung.html,nicht aktuell
Stadtwerke Bayreuth Energie und Wasser GmbH,6.00%,9.00%,2.00%,0.00%,51.00%,32.00%,100.00%,11.00%,12.24%,18.37%,4.08%,0.00%,65.31%,22.45%,266,0.0004,542.857142857143,https://www.stadtwerke-bayreuth.de/energie-wasser/strom/grundversorgung-strom/,
Stadtwerke Bebra GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-bebra.de/index.php/vertrieb/stromkennzeichnung,nicht aktuell
Stadtwerke Bernau GmbH,6.08%,22.66%,8.79%,1.08%,52.94%,8.45%,100.00%,32.53%,12.92%,48.15%,18.68%,2.29%,17.96%,69.12%,280,0.0002,594.985125371866,https://www.stadtwerke-bernau.de/service/gut-zu-wissen/download-center.html,
Stadtwerke Bernburg GmbH,6.80%,23.80%,31.90%,0.40%,36.90%,0.00%,99.80%,56.10%,10.78%,37.72%,50.55%,0.63%,0.00%,88.91%,347,0.0002,549.920760697306,https://www.stadtwerke-bernburg.de/privatkunden/strom/tarife.html?file=files/downloads/pdf_privat_geschaeftskunden/Rechtsvorschriften/Stromkennzeichnung_2017.pdf&cid=3370,
Stadtwerke Bexbach GmbH,10.30%,34.00%,10.20%,1.50%,43.80%,0.20%,100.00%,45.70%,18.33%,60.50%,18.15%,2.67%,0.36%,81.32%,385,0.0003,685.053380782918,http://www.stadtwerke-bexbach.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung-2018.pdf,
Stadtwerke Bielefeld GmbH,31.90%,8.30%,15.10%,0.40%,39.30%,5.00%,100.00%,23.80%,52.55%,13.67%,24.88%,0.66%,8.24%,39.21%,135,0.0009,222.405271828666,https://www.stadtwerke-bielefeld.de/privatkunden/tarife/strom/enerbest-strom-in-nrw.html,
Stadtwerke Bietigheim-Bissingen GmbH,5.70%,26.40%,11.20%,1.10%,51.90%,3.70%,100.00%,38.70%,11.85%,54.89%,23.28%,2.29%,7.69%,80.46%,324,0.0002,673.596673596674,https://www.sw-bb.de/wir-fuer-sie/kundenservice/kundeninformation/strom/stromkennzeichnung/#c186,
Stadtwerke Bitterfeld-Wolfen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://sw-bitterfeld-wolfen.de/wp-content/uploads/Preisliste_Basis_Tarif_Strom_Haushalt_20181.pdf,nicht aktuell
Stadtwerke Blankenburg GmbH,2.00%,4.00%,2.00%,0.00%,52.00%,40.00%,100.00%,6.00%,4.17%,8.33%,4.17%,0.00%,83.33%,12.50%,48,0.0000,100,https://www.sw-blankenburg.de/strom/stromkennzeichnung/,
Stadtwerke Bliestal GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-bliestal.de/no_cache/de/privatkunden/strom/kundenvorteile/stromkennzeichnung/?sword_list%5B0%5D=stromkennzeichnung,nicht aktuell
Stadtwerke Böblingen GmbH & Co. KG,4.30%,10.90%,10.20%,0.60%,52.90%,21.00%,99.90%,21.70%,9.13%,23.14%,21.66%,1.27%,44.59%,46.07%,150,0.0001,318.471337579618,https://www.stadtwerke-boeblingen.de/angebote-leistungen/service/faq.html#faq-strom,
Stadtwerke Bochum GmbH,9.60%,33.30%,13.00%,1.50%,35.30%,7.30%,100.00%,47.80%,14.84%,51.47%,20.09%,2.32%,11.28%,73.88%,391,0.0003,604.327666151468,https://www.stadtwerke-bochum.de/privatkunden/produkte/strom/agb_strominfos/stromkennzeichnung.html,
Stadtwerke Bogen GmbH,18.00%,22.10%,5.80%,1.10%,52.90%,0.10%,100.00%,29.00%,38.22%,46.92%,12.31%,2.34%,0.21%,61.57%,242,0.0005,513.80042462845,https://www.stadtwerke-bogen.de/strom/stromkennzeichnung/,
Stadtwerke Böhmetal GmbH,16.90%,20.70%,5.30%,0.90%,3.30%,52.90%,100.00%,26.90%,17.48%,21.41%,5.48%,0.93%,54.71%,27.82%,226,0.0005,233.712512926577,https://www.swbt.de/Privatkunden/Strom/Grundversorgung?&La=1,
Stadtwerke Borken/Westfalen GmbH,8.60%,28.50%,6.80%,0.70%,50.90%,4.50%,100.00%,36.00%,17.52%,58.04%,13.85%,1.43%,9.16%,73.32%,292,0.0002,594.704684317719,https://www.stadtwerke-borken.de/angebote/strom/strommix/,
Stadtwerke Bramsche GmbH,8.70%,30.90%,7.20%,0.30%,52.90%,0.00%,100.00%,38.40%,18.47%,65.61%,15.29%,0.64%,0.00%,81.53%,331,0.0002,702.76008492569,https://www.stadtwerke-bramsche.de/de/Privatkunden/Strom/Preise/Stromkennzeichnung,Irreführende Beschreibung
Stadtwerke Brandenburg an der Havel GmbH & Co. KG,7.10%,23.10%,12.50%,0.60%,52.90%,3.70%,99.90%,36.20%,15.07%,49.04%,26.54%,1.27%,7.86%,76.86%,221,0.0002,469.214437367304,https://www.stwb.de/KUNDEN/Service/Verbraucherinformation/Stromkennzeichnung,
Stadtwerke Bredstedt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-bredstedt.de/strom/energietraegermix/,FEHLER Kohle und sonstige Fossile zusammengefasst
Stadtwerke Bretten GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.kraichgau-energie.de/privatkunden/strom/privatstrom-komfort/,nicht aktuell
Stadtwerke Brilon Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-brilon.de/wp-content/uploads/2018/10/Stromkennzeichnung_SLP.pdf,FEHLER Deutschland-Mix
Stadtwerke Brühl GmbH,7.50%,27.10%,4.50%,0.60%,52.90%,7.40%,100.00%,32.20%,15.92%,57.54%,9.55%,1.27%,15.71%,68.37%,298,0.0002,632.696390658174,https://www.stadtwerke-bruehl.de/energie/bruehlstrom/stromkennzeichnung/,
Stadtwerke Brunsbüttel GmbH,15.70%,19.20%,5.10%,0.80%,52.90%,6.00%,99.70%,25.10%,33.33%,40.76%,10.83%,1.70%,12.74%,53.29%,169,0.0004,358.811040339703,https://www.stadtwerke-brunsbuettel.de/,
Stadtwerke Buchen GmbH & Co KG,5.30%,16.40%,6.80%,5.40%,52.90%,13.20%,100.00%,28.60%,11.25%,34.82%,14.44%,11.46%,28.03%,60.72%,258,0.0002,547.770700636943,https://www.stadtwerke-buchen.de/jdownloads/Strom/2018_11_06%20Stromkennzeichnung%20Ver%20ffentlichung%20Internet.pdf,
Stadtwerke Buchholz in der Nordheide GmbH,6.70%,24.90%,8.00%,1.20%,51.40%,7.90%,100.10%,34.10%,13.79%,51.23%,16.46%,2.47%,16.26%,70.16%,272,0.0002,559.670781893004,https://buchholz-stadtwerke.de/stromkennzeichnung.html,
Stadtwerke Bühl GmbH,8.80%,24.00%,5.60%,0.90%,52.90%,7.80%,100.00%,30.50%,18.68%,50.96%,11.89%,1.91%,16.56%,64.76%,259,0.0002,549.893842887474,https://www.stadtwerke-buehl.de/de/Privatkunden/Strom/Stromkennzeichnung,
Stadtwerke Burg GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://stadtwerke-burg.de/strom/,FEHLER fehlerhafte Kennzeichnung
Stadtwerke Burgbernheim,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.burgbernheim.de/stadtwerke.burgbernheim.de/Stromvertrieb/Stromkennzeichnung/K360.htm,FEHLER Kohle und sonstige Fossile zusammengefasst
Stadtwerke Burgdorf GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-burgdorf.de/,nicht vorhanden
Stadtwerke Buxtehude GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-buxtehude.de/leistungen/preise,FEHLER kein Unternehmensmix
Stadtwerke Castrop-Rauxel GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.swcas.de/oekostrom/stromherkunft/stromkennzeichnung/,
Stadtwerke Celle GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stadtwerke-celle.de/strom/,
Stadtwerke Cham GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerkecham.de/strom/vertrieb.html,nicht aktuell
Stadtwerke Clausthal-Zellerfeld GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.stadtwerke-clausthal.de/,nicht vorhanden
Stadtwerke Coesfeld GmbH,8.10%,30.30%,7.50%,1.10%,52.90%,0.10%,100.00%,38.90%,17.20%,64.33%,15.92%,2.34%,0.21%,82.59%,306,0.0002,649.68152866242,https://www.stadtwerke-coesfeld.de/privatkunden/strom/strommix/,
Stadtwerke Cottbus GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-cottbus.de/de/privatkunden/themen/produkt-center/strom/stromkennzeichnung.html,nicht aktuell
Stadtwerke Crailsheim GmbH,3.89%,13.84%,10.66%,0.46%,68.48%,2.67%,100.00%,24.96%,12.34%,43.91%,33.82%,1.46%,8.47%,79.19%,161,0.0001,511.770304568528,https://www.stw-crailsheim.de/stadtwerke-crailsheim/privatkunden/strom/stromkennzeichnung.html,FEHLER mit EEG
Stadtwerke Dachau,5.54%,21.69%,8.69%,1.02%,52.94%,10.12%,100.00%,31.40%,11.77%,46.09%,18.47%,2.17%,21.50%,66.72%,234,0.0001,497.237569060774,https://www.stadtwerke-dachau.de/strom/strommix.html,
Stadtwerke Deggendorf GmbH,7.80%,22.40%,8.00%,1.40%,52.90%,7.40%,99.90%,31.80%,16.56%,47.56%,16.99%,2.97%,15.71%,67.52%,263,0.0002,558.386411889597,http://www.stadtwerke-deggendorf.de/strom/stromkennzeichnung/,
Stadtwerke Deidesheim GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-deidesheim.de/swd-wAssets/docs/Produkte/Strom/Kennzeichnung-der-Stromlieferungen-2017.pdf,
Stadtwerke Delitzsch GmbH,11.40%,17.50%,14.20%,0.70%,52.90%,3.30%,100.00%,32.40%,24.20%,37.15%,30.15%,1.49%,7.01%,68.79%,260,0.0003,552.016985138004,https://www.sw-delitzsch.de/privatkunden/service/rechtliches/energiemix/,
Stadtwerke Delmenhorst GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerkegruppe-del.de/fileadmin/Dateien-Marketing/1_Versorgung/2_Strom/Stromkennzeichnung_2017.pdf,
Stadtwerke Detmold GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-detmold.de/Strom/Energiemix/,
Stadtwerke Dettelbach,0.60%,1.60%,0.60%,0.10%,52.90%,44.20%,100.00%,2.30%,1.27%,3.40%,1.27%,0.21%,93.84%,4.88%,18,0.0000,38.2165605095541,https://www.dettelbach.de/sites/gensite.asp?SID=cms2611201815561628107272&Art=0621:627:633,
Stadtwerke Diez GmbH,9.00%,31.20%,2.80%,0.30%,52.90%,3.80%,100.00%,34.30%,19.11%,66.24%,5.94%,0.64%,8.07%,72.82%,,,0,https://www.stadtwerke-diez.de/strom/stromkennzeichnung.html,FEHLER Umweltbelastungen
Stadtwerke Dillingen/Saar GmbH,9.30%,32.10%,3.40%,0.50%,52.90%,1.70%,99.90%,36.00%,19.75%,68.15%,7.22%,1.06%,3.61%,76.43%,488,0.0003,1036.09341825902,https://www.swd-saar.de/strom/zusaetzliche-infos/,
Stadtwerke Dingolfing GmbH,6.30%,16.80%,6.00%,0.80%,52.90%,17.00%,99.80%,23.60%,13.38%,35.67%,12.74%,1.70%,36.09%,50.11%,325,0.0002,690.021231422505,https://www.stadtwerke-dingolfing.de/upload/strom/strom_vertrieb/Energiemix%202017%20Teil%201.pdf,
Stadtwerke Dinkelsbühl,8.70%,23.70%,8.30%,0.80%,52.90%,5.60%,100.00%,32.80%,18.47%,50.32%,17.62%,1.70%,11.89%,69.64%,261,0.0002,554.140127388535,https://www.sw-dinkelsbuehl.de/de/netze/strom/veroeffentlichungspflichten/grund-und-ersatzversorgung.html,
Stadtwerke Dinslaken GmbH,6.20%,28.10%,3.70%,0.40%,50.60%,11.00%,100.00%,32.20%,12.55%,56.88%,7.49%,0.81%,22.27%,65.18%,299,0.0002,605.263157894737,https://www.stadtwerke-dinslaken.de/privatkunden/strom/uebersicht/weitere-produkte-und-informationen/stromkennzeichnzeichnung.html#pane-22,
Stadtwerke Ditzingen GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.sw-ditzingen.de/privatkunden/strom/kennzeichnung/,nicht aktuell
Stadtwerke Döbeln GmbH,7.60%,26.64%,12.28%,0.44%,52.94%,0.10%,100.00%,39.36%,16.15%,56.61%,26.09%,0.93%,0.21%,83.64%,314,0.0002,667.233319167021,https://www.stadtwerke-doebeln.de/Stromkennzeichnung::57,
Stadtwerke Dorfen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-dorfen.de/produkte/strom/tarife#t-s-privat-gewerbe,nicht aktuell
Stadtwerke Dreieich GmbH,9.10%,25.90%,9.50%,1.50%,52.90%,1.10%,100.00%,36.90%,19.32%,54.99%,20.17%,3.18%,2.34%,78.34%,306,0.0002,649.68152866242,https://www.stadtwerke-dreieich.de/produkte/strom/stromkennzeichnung/?caba6d5024314290398a946348a0c011=CqZJ5gHRS8LDsdGUD4QJK0,
Stadtwerke Duisburg AG,6.70%,24.60%,14.90%,0.70%,52.10%,1.00%,1.00%,40.20%,13.99%,51.36%,31.11%,1.46%,2.09%,83.92%,299,0.0002,624.217118997912,https://www.stadtwerke-duisburg.de/fileadmin/user_upload/Tarifdaten/Strom/Stromkennzeichnung_2018_November.pdf,
Stadtwerke Dülmen GmbH,9.19%,29.23%,4.80%,0.68%,52.95%,3.15%,100.00%,34.71%,19.53%,62.13%,10.20%,1.45%,6.70%,73.77%,321,0.0002,682.252922422954,https://www.stadtwerke-duelmen.de/privatkunden/strom/,
Stadtwerke Düren GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-dueren.de/privatkunden/produkte/strom/unser-strommix/,nicht aktuell
Stadtwerke Düsseldorf AG,4.90%,15.10%,24.20%,1.70%,50.20%,3.90%,100.00%,41.00%,9.84%,30.32%,48.59%,3.41%,7.83%,82.33%,238,0.0001,477.911646586345,https://www.swd-ag.de/medien/dokumente/vertragsbestaetigungen/stromkennzeichnung.pdf,
Stadtwerke Eberbach,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358,0.0002,760.084925690021,http://www.stadtwerke-eberbach.de/strom.html,
Stadtwerke Ebermannstadt Versorgungsbetriebe GmbH,8.00%,10.00%,3.00%,0.00%,53.00%,26.00%,100.00%,13.00%,17.02%,21.28%,6.38%,0.00%,55.32%,27.66%,107,0.0002,227.659574468085,https://www.stadtwerke-ebermannstadt.de/ebermannstadtGips/Ebermannstadt/stadtwerke-ebermannstadt2.de/Strom/Tarife-Netzgebiet-Bayernwerk-/Preise-und-Antraege-Netzgebiet-Bayernwerk/Stromkennzeichnung.pdf#search=stromkennzeichnung,
Stadtwerke Eckernförde GmbH,7.79%,23.77%,10.87%,1.18%,52.94%,3.46%,100.01%,35.82%,16.55%,50.51%,23.10%,2.51%,7.35%,76.12%,286,0.0002,607.734806629834,https://www.stadtwerke-eckernfoerde.de/index.php/strom.html,
Stadtwerke Eichstätt Versorgungs-GmbH,7.20%,19.60%,6.80%,0.70%,52.90%,12.80%,100.00%,27.10%,15.29%,41.61%,14.44%,1.49%,27.18%,57.54%,216,0.0002,458.59872611465,https://www.stadtwerke-eichstaett.de/strom/stromkennzeichnung/,
Stadtwerke Eilenburg GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.eilenburger-stadtwerke.de/privatkunden/strom/veroeffentlichungsdaten,nicht aktuell
Stadtwerke Einbeck GmbH,8.00%,18.00%,6.00%,1.00%,33.00%,34.00%,100.00%,25.00%,11.94%,26.87%,8.96%,1.49%,50.75%,37.31%,208,0.0002,310.44776119403,https://www.stadtwerke-einbeck.de/strom/stromkennzeichnung/,
Stadtwerke Eisenberg Energie GmbH,8.00%,23.00%,10.00%,1.00%,53.00%,5.00%,100.00%,34.00%,17.02%,48.94%,21.28%,2.13%,10.64%,72.34%,279,0.0002,593.617021276596,https://portal.stadtwerke-eisenberg.de/Strom-Mix-cbdzasFAFzqEAAAAE1j24OvEOF-SWE-SWEPortal-Site-WFS-de_DE-EUR%3Bsid=L73_iCZud7nDLndnknfmQ46uRhlt8k_Kvcc=,
Stadtwerke Eisenhüttenstadt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://swehst.de/huettestrom/energiemix/,nicht aktuell
Stadtwerke Elbtal GmbH,9.70%,29.90%,8.70%,1.40%,47.90%,2.40%,100.00%,40.00%,18.62%,57.39%,16.70%,2.69%,4.61%,76.78%,435,0.0003,834.932821497121,https://www.stadtwerke-elbtal.de/C1257C900056C2B3/2E609DFD4B7CAD9CC1257C7D0025B4C2/$FILE/Stadtwerke-Elbtal-Stromkennzeichnung.pdf,
Stadtwerke Elm-Lappwald GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-elm-lappwald.de/privatkunden/strom/stromkennzeichnung/,nicht aktuell
Stadtwerke Elmshorn,5.20%,15.80%,8.90%,0.60%,44.70%,24.80%,100.00%,25.30%,9.40%,28.57%,16.09%,1.08%,44.85%,45.75%,195,0.0001,352.622061482821,https://www.stadtwerke-elmshorn.de/de/Privatkunden/Energie-Wasser/Strom/STROM-Plus/STROM-Plus/Stromkennzeichnung2017.pdf,
Stadtwerke Elzach Versorgungs- und Kurbetriebe,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,"https://www.elzach.de/,Lde/startseite/rathaus+_+service/strom.html",nicht aktuell
Stadtwerke Emden GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://stadtwerke-emden.de/strom/privatkunden/,nicht aktuell
Stadtwerke Emmendingen GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://swe-emmendingen.de/wp-content/uploads/2012/10/Stromkennzeichnung_2017.pdf,
Stadtwerke Emmerich GmbH,3.40%,8.90%,4.00%,0.60%,47.40%,35.70%,100.00%,13.50%,6.46%,16.92%,7.60%,1.14%,67.87%,25.67%,106,0.0001,201.520912547528,https://www.stadtwerke-emmerich.de/de/Netzbetrieb/Stromnetz/Stromkennzeichnung_58162.html,
Stadtwerke Emsdetten GmbH,3.10%,24.10%,2.60%,0.40%,50.50%,19.30%,100.00%,27.10%,6.26%,48.69%,5.25%,0.81%,38.99%,54.75%,263,0.0001,531.313131313131,https://www.stadtwerke-emsdetten.de/service/veroeffentlichungspflichten/,
