Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
NE Projekt GmbH & Co. KG,,,,,bna,,,Eilveser Hauptstr. 56 - 31535 Neustadt,
NET Windenergie GmbH,,,,,bna,,,Lehfeld 5 - 21029 Hamburg,
NEW AG,,,,,bna,,,Odenkirchener Straße 201 - 41236 Mönchengladbach,
New Breeze GmbH & Co. Wind Wörrstadt KG,,,,,bna,,,Energie Allee 1 - 55286 Wörrstadt,
NEW Niederrhein Energie und Wasser GmbH,,true,false,false,false,0800 6886881,www.new-energie.de/privatkunden/strom/stromtarife/blauer-himmel,,regional
Next Kraftwerke GmbH,,,,,bna,,,Lichtstraße 43 g - 50825 Köln,
Nexus Energie GmbH,,,,,bna,,,Fritz-Vomfelde-Straße 34 - 40547 Düsseldorf,
Nexus Energy Deutschland GmbH,,,,,bna,,,Fritz-Vomfelde-Straße 34 - 40547 Düsseldorf,
Nexus Green GmbH,,,,,bna,,,Fritz-Vomfelde-Straße 34 - 40547 Düsseldorf,
NGBT Energie GmbH,,,,,bna,,,Rosacker 3 - 24887 Silberstedt,
Nienburg Energie GmbH,,,,,bna,,,An der Breiten Riede 9 - 31582 Nienburg/Weser,
Niers-Energie GmbH,,,,,bna,,,Kroatenstraße 125 - 47623 Kevelaer,
node.energy GmbH,,,,,bna,,,Platz der Einheit 2 - 60327 Frankfurt am Main,
Norbert Neuburger,,,,,bna,,,Auf der Höhe 15 - 21109 Hamburg,
Nordgröön Energie GmbH & Co. KG,,,,,bna,,,Hauptstraße 49 - 24994 Medelby,
Nordlicht Power GbR,,,,,bna,,,Lünzener Straße 55 - 29640 Schneverdingen,
NordostWerke GmbH,,,,,bna,,,Großbeerenstraße 181-183 - 14482 Potsdam,
Nord Stadtwerke GmbH,,,,,bna,,,Lorenz-von-Stein-Ring 1-5 - 24340 Eckernförde,
NRN Energie GmbH,,,,,bna,,,Mühlengasse 9 - 47574 Goch,
nvb Nordhorner Versorgungsbetriebe GmbH,,,,true,true,,,Gildkamp 10 - 48529 Nordhorn,
NWG Power GmbH,,,,,bna,,,Trittauer Amtsweg 19 - 22179 Hamburg,
Oberhessische Versorgungsbetriebe AG,,,,,bna,,,Hanauer Straße 9-13 - 61169 Friedberg,
ÖfA Ökostrom für Alle GmbH,,,,,bna,,,Overwegstraße 24 - 45879 Gelsenkirchen,
Ohra Energie GmbH,,,,,bna,,,Am Bahnhof 4 - 99880 Hörsel,
Ophirum Energy GmbH,,,,,bna,,,Friedensstraße 6-10 - 60311 Frankfurt am Main,
OptimalGrün GmbH,,,,,bna,,,Geyersberger Straße 16 - 94078 Freyung,
Optimization engineers GmbH,,,,,bna,,,Werkstraße 15 - 45527 Hattingen,
OTIMA Energie AG,,,,,bna,,,Rosenaue 24 - 15366 Neuenhagen,
Otto Fricke & Co. GmbH,true,,false,false,true,Tel. 05241 / 10054,www.fricke-oil.de,Kaiserstraße 36 - 33330 Gütersloh,
OVE GmbH & Co. KG,,,,,bna,,,Brunnenstraße 4 - 49214 Bad Rothenfelde,
paketsparer GmbH,,,,,bna,,,Zimmerstraße 78 - 10117 Berlin,
PassatEnergie GmbH,,,,,bna,,,Geniner Straße 80 - 23560 Lübeck,
Peter & Krebs Mineralölhandels GmbH,,,,,bna,,,Darwinstraße 4 - 10589 Berlin,
Pfalzwerke AG,true,,false,false,false,Tel. 0621 / 570573123,www.123energie.de,,
PFALZWERKE AKTIENGESELLSCHAFT,,true,false,false,false,0800 2792000,www.pfalzwerke.de,,regional
Poggelann Naturenergie GmbH & Co. KG,,,,,bna,,,Süderweg 1 - 25926 Bramstedtlund,
Poitzmann & Geißel Vertriebs GmbH,,,,,bna,,,Fuhrstraße 50 - 35083 Wetter,
Polarstern GmbH,,true,false,false,true,089 309042911,www.polarstern-energie.de/oekostrom/,Kreuzplätzchen 5 - 81669 München,bundesweit
Präg Strom & Gas GmbH & Co. KG,,,,,bna,,,Im Moos 2 - 87435 Kempten,
Primastrom GmbH,,,,,bna,,,Zimmerstraße 78 - 10117 Berlin,
Prio Services GmbH,,,,,bna,,,Europadamm 2-6 - 41460 Neuss,
Proefa GmbH,,,true,false,false,,,,
PROENGENO GmbH & Co. KG,,true,false,false,true,04902 9157000,www.proengeno.de/privatkunden/oekostrom,Nendorper Straße 15 - 26844 Jemgum,bundesweit
PROKON regenerative Energien eG,true,,true,false,false,Tel. 04821 / 6855222,www.prokon.net,,
PROKON Regenerative Energien GmbH,,,,,bna,,,Kirchhoffstraße 3 - 25524 Itzehoe,
Propan Rheingas GmbH & Co. KG,,,,,bna,,,Fischenicher Straße 23 - 50321 Brühl,
prosumergy GmbH,,,,,bna,,,Universitätsplatz 12 - 34127 Kassel,
Protea Energy Farm GmbH & Co. KG,,,,,bna,,,St. Johann Str. 4 - 70794 Filderstadt,
PST Europe Sales GmbH,,,,,bna,,,Arnulfstraße 19 - 80335 München,
Q1 Energie AG,,,,,bna,,,Rheinstraße 82 - 49090 Osnabrück,
Queichtal Energie Offenbach GmbH & Co. KG,,,true,false,false,,,,
Raiffeisen Energie GmbH & Co. KG,,,,,bna,,,Plathnerstraße 4A - 30175 Hannover,
Rakelbusch Heizölhandel GmbH,,,,,bna,,,Hainholzstraße 5 - 31558 Hagenburg,
Rationelle Energie Süd GmbH,,,,,bna,,,Heidenheimer Straße 28 - 73312 Geislingen an der Steige,
Regiogröön GmbH & Co. KG,,,,,bna,,,Hauptstraße 49 - 24994 Medelby,
Regionah Energie GmbH,,,,,bna,,,Brunnenbergstraße 27 - 89597 Munderkingen,
Regionale EnergieWerke GmbH,,,,,bna,,,Kaiserswerther Straße 215 - 40474 Düsseldorf,
Regionalwerk Bodensee GmbH & Co. KG,,true,false,false,true,07542 93790,www.rw-bodensee.de/privatkunden/oekostrom.html,Waldesch 29 - 88069 Tettnang,regional
regionalwerke GmbH & Co. KG,,,,,bna,,,Hauptstraße 59 - 84155 Bodenkirchen,
Regionalwerk Würmtal GmbH & Co. KG,,,,,bna,,,Bahnhofplatz 1 - 82131 Gauting,
RegioPlus Strom- und Gashandel GmbH,,,,,bna,,,Alt-Karow 28a - 13125 Berlin,
Reibert energie GmbH,,,,,bna,,,Am Seewasem 1 - 35216 Biedenkopf,
Remstalwerk GmbH & Co. KG,,,,,bna,,,Marktplatz 1 - 73630 Remshalden,
renergie GmbH,,,,,bna,,,Adenauerring 97 - 87439 Kempten,
Renergiewerke Buttenwiesen GmbH,,,,,bna,,,Marktplatz 4 - 86647 Buttenwiesen,
Repower AG,true,,false,false,false, ,,,
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,,true,false,false,false,0800 6016010,rewario.strom.natur: www.rewag.de/privatkunden/strom/rewariostromnatur.htmlrewario.strom.mobil: www.rewag.de/privatkunden/strom/rewariostrommobil.html,,regional
Rhegio Natur GmbH,,,,,bna,,,Industriestr. 15 - 46414 Rhede,
Rhein Energie AG,,,,,bna,,,Parkgürtel 24 - 50823 Köln,
RheinEnergie Express GmbH,,,,,bna,,,Parkgürtel 24 - 50823 Köln,
Rheinhessen-Energie GmbH,,,,,bna,,,Elisabethenstraße 1 - 55576 Sprendlingen,
Rheinhessische Energie- und Wasserversorgungs-GmbH,,,true,false,false,,,,
RheinWerke GmbH,,,,,bna,,,Höherweg 200 - 40233 Düsseldorf,
rhenag Rheinische Energie Aktiengesellschaft,,,true,false,false,,,,
RhönEnergie Fulda GmbH,,true,false,false,false,RhönSTROM Natur GSL: 0661 12450RhönStrom ÖkoRegio: 0661 12100,RhönSTROM Natur GSL: www.rhoenstrom.deRhönStrom ÖkoRegio: www.re-fd.de/strom/tarife/rhoenstrom-oekoregio,,RhönSTROM Natur GSL: bundesweitRhönStrom ÖkoRegio: regional
Richtwerk Energie GmbH iGr.,,,,,bna,,,Dieselstraße 5 - 42781 Haan,
Rieger GmbH & Co. KG,,,true,false,false,,,,
Rinklin Energie GbR,,,,,bna,,,Marienstr. 13b - 79356 Eichstetten,
Rinklin Naturkost GmbH,,,,,bna,,,Bruckmatten 18 - 79356 Eichstetten,
Rödl GmbH,,,,,bna,,,Nürnberger Straße 41 - 92318 Neumarkt,
Rolf Kopsicker GmbH,,,,,bna,,,Nikolaus-Otto-Straße 28 - 19061 Schwerin,
Rommel Energie GmbH,,,,,bna,,,Bergmannstraße 2 - 88471 Laupheim,
RS Utility Service UG (haftungsbeschränkt),,,,,bna,,,Hauptstraße 1 - 6772 Gräfenhainichen,
RUB Energy GmbH & Co. KG,,,,,bna,,,"Austraße 4 - 25365 Klein Offenseth-
Sparrieshoop",
RVW Regionale Versorgungswerke Kassel eG,,,,,bna,,,Sonnenweg 5 - 34260 Kaufungen,
RWE Vertrieb AG,,,,true,false,,,,
Saergas GmbH & Co. KG,,,,,bna,,,Hembergener Straße 10 - 48369 Saerbeck,
Schillhorn Strom und Gas GmbH,,,,,bna,,,Österstraße 13 - 25704 Meldorf,
Schimpfhauser & Dengler GmbH,,,,,bna,,,Victor-Kaluza-Straße 7 - 83607 Holzkirchen,
Schröder Gas GmbH & Co. KG,,,,,bna,,,Dibberser Bahnhof 5 - 27321 Thedinghausen,
Schuster & Sohn KG,,,,,bna,,,Kohlenhofstraße 6-12 - 67663 Kaiserslautern,
Schwarzwald Energy GmbH,,,true,false,true,,,Robert-Bosch-Straße 20 - 75365 Calw,
SD Energie GmbH,,,,,bna,,,Dresdner Straße 13 - 1156 Dresden,
SENEC GmbH,,,,,bna,,,Wittenberger Straße 15 - 4129 Leipzig,
servenergy GmbH,,,,,bna,,,Im Westerfelde 29 - 31224 Peine,
SE Sauber Energie GmbH & Co. KG,,,true,false,true,,,Bayenthalgürtel 9 - 50968 Köln,
Shell PrivatEnergie GmbH,,,,,bna,,,Suhrenkamp 71 - 77 - 22335 Hamburg,
Siegener Versorgungsbetriebe GmbH,,,true,false,true,,,Morleystraße 29 - 37 - 57072 Siegen,
Smiling Green Energy GmbH,,,,,bna,,,Grubesallee 24 - 22143 Hamburg,
Solar Genossenschaft Rosenheim e.G.,,,true,false,true,,,Am Gangsteig 16 - 83024 Rosenheim,
SOLARIMO GmbH,,,,,bna,,,Friedrichstraße 200 - 10117 Berlin,
Solar Nord Ost GbR,,,,,bna,,,Eilveser Hauptstr. 56 - 31535 Neustadt,
"Solarpark Meerane II UG (haftungsbeschränkt) & Co.
KG",,,,,bna,,,Kieler Straße 29 - 24119 Kronshagen,
Sonnenbatterie Energie GmbH,,,,,bna,,,"im Innovationspark Allgäu
Am Riedbach 1 - 87499 Wildpoldsried",
sonnen eService GmbH,,,,,bna,,,"im Innovationspark Allgäu
Am Riedbach 1 - 87499 Wildpoldsried",
Sparenergie GmbH,,,,,bna,,,Iglauerstraße 1 - 1279 Dresden,
Sparkasse Siegen,,,,,bna,,,Postfach 10 09 48 - 57009 Siegen,
"SpreeGas Gesellschaft für Gasversorgung und
Energiedienstleistung mbH",,,,,bna,,,Nordparkstraße 30 - 3044 Cottbus,
Städtische Werke AG,,,,,bna,,,Königstor 3-13 - 34117 Kassel,
Städtische Werke Magdeburg GmbH & Co. KG,,,,,bna,,,Am Alten Theater 1 - 39104 Magdeburg,
Städtische Werke Spremberg (Lausitz) GmbH,,,,,bna,,,Lustgartenstraße 4a - 3130 Spremberg,
Stadt- und Überlandwerke GmbH Lübben,,,,,bna,,,Bahnhofstraße 30 - 15907 Lübben,
Stadt- und Überlandwerke GmbH Luckau-Lübbenau,,,,,bna,,,Am Bahnhof 2 - 15926 Luckau,
Stadtwerk am See GmbH & Co. KG,true,,false,false,true, ,www.stadtwerk-am-see.de,Kurt-Wilde-Straße 10 - 88662 Überlingen,
Stadtwerke Aachen AG,true,,false,false,false,Tel. 0241 / 181-0,www.stawag.de,,
Stadtwerke Altdorf GmbH,true,,false,false,true,Tel. 09187 / 929-0,www.stadtwerke-altdorf.de,Herbrucker Str. 6a - 90518 Altdorf,
Stadtwerke Amberg Versorgungs GmbH,,,,,bna,,,Gasfabrikstraße 16 - 92224 Amberg,
Stadtwerke Andernach GmbH,,,true,false,true,,,Läufstraße 4 - 56626 Andernach,
Stadtwerke Annweiler am Trifels,,true,false,false,false,06346 30090,www.stadtwerke-annweiler.de/index.php/oekostrom.html,,regional
Stadtwerke Arnsberg GmbH,,,true,false,false,,,,
"Stadtwerke Arnsberg Vertriebs und
Energiedienstleistungs GmbH",,,,,bna,,,Niedereimerfeld 22 - 59823 Arnsberg,
Stadtwerke Aue GmbH,,,,,bna,,,Mühlstraße 4 - 8280 Aue,
Stadtwerke Augsburg Energie GmbH,,,,,bna,,,Hoher Weg 1 - 86152 Augsburg,
Stadtwerke Aurich GmbH,,,,,bna,,,Wallstraße 54 - 26603 Aurich,
Stadtwerke Backnang GmbH,,,,,bna,,,Schlachthofstraße 6-10 - 71522 Backnang,
Stadtwerke Bad Belzig GmbH,,,true,false,true,,,Mauerstraße 17 - 14806 Bad Belzig,
Stadtwerke Bad Brückenau GmbH,,,true,false,true,,,Sinnaustraße 14 - 97769 Bad Brückenau,
Stadtwerke Bad Dürkheim,,true,false,false,false,06322 935813,www.sw-duerkheim.de/strom-stadtwerke/naturstrom/naturstrom.html,,regional
Stadtwerke Bad Friedrichshall,,,,,bna,,,Saline 1 - 74177 Bad Friedrichshall,
Stadtwerke Bad Harzburg GmbH,,,,true,false,,,,
Stadtwerke Bad Herrenalb GmbH,,,true,false,false,,,,
Stadtwerke Bad Hersfeld GmbH,,,true,false,false,,,,
Stadtwerke Bad Homburg v. d. Höhe,,,,,bna,,,Louisenstraße 148 - 61348 Bad Homburg v. d. Höhe,
Stadtwerke Bad Langensalza GmbH,,,,,bna,,,Illebener Weg 11a - 99947 Bad Langensalza,
Stadtwerke Bad Nauheim GmbH,,,,,bna,,,Hohe Straße 14-18 - 61231 Bad Nauheim,
Stadtwerke Bad Pyrmont Energie und Verkehrs GmbH,,,,true,false,,,,
Stadtwerke Bad Sachsa GmbH,,,,true,false,,,,
Stadtwerke Bad Salzdetfurth GmbH,,,,true,false,,,,
Stadtwerke Bad Saulgau,,,true,false,false,,,,
Stadtwerke Bad Tölz GmbH,,,,,bna,,,An der Osterleite 2 - 83646 Bad Tölz,
Stadtwerke Bad Vilbel GmbH,,,,,bna,,,Theodor-Heuss-Straße 51 - 61118 Bad Vilbel,
Stadtwerke Barmstedt Xtra GmbH,,,,,bna,,,Bahnhofstraße 27 - 25355 Barmstedt,
Stadtwerke Barsinghausen GmbH,,,true,false,true,,,Poststraße 1 - 30890 Barsinghausen,
Stadtwerke Barth,,,,,bna,,,Hölzern-Kreuz-Weg 11 - 18356 Barth,
Stadtwerke Bayreuth Energiehandel GmbH,,,,,bna,,,Birkenstraße 2 - 95447 Bayreuth,
Stadtwerke Bayreuth Energie und Wasser GmbH,,,,,bna,,,Birkenstraße 2 - 95447 Bayreuth,
Stadtwerke Bliestal GmbH,,true,false,false,false,06381 42070,www.stadtwerke.kusel.de,,regional
Stadtwerke Böblingen GmbH,,,,,bna,,,Wolfgang-Brumme-Allee 32 - 71032 Böblingen,
Stadtwerke Bogen GmbH,,,,,bna,,,Agendorfer Straße 19 - 94327 Bogen,
Stadtwerke Böhmetal GmbH,,,,,bna,,,Poststraße 4 - 29664 Walsrode,
Stadtwerke Bramsche GmbH,,,,true,false,,,,
Stadtwerke Brilon Energie GmbH,,,,,bna,,,Keffelker Straße 27 - 59929 Brilon,
Stadtwerke Brunsbüttel GmbH,,,,,bna,,,Koogstraße 61-63 - 25541 Brunsbüttel,
Stadtwerke Buchholz in der Nordheide GmbH,,,,true,false,,,,
Stadtwerke Burgdorf,,,,,bna,,,Schmiedestraße 12c - 31290 Burgdorf,
Stadtwerke Burgdorf GmbH,,,,true,false,,,,
Stadtwerke Buxtehude GmbH,,,,true,false,,,,
Stadtwerke Castrop-Rauxel GmbH,,,true,false,true,,,Lönsstraße 12 - 44575 Castrop-Rauxel,
Stadtwerke Celle GmbH,,,true,false,true,,,Magnusstraße 2 - 29221 Celle,
Stadtwerke Clausthal-Zellerfeld GmbH,,,,true,false,,,,
Stadtwerke Coesfeld GmbH,,,,,bna,,,Dülmener Straße 80 - 48653 Coesfeld,
Stadtwerke Cottbus GmbH,,,,,bna,,,Karl-Liebknecht-Straße 130 - 3046 Cottbus,
Stadtwerke Dachau (Eigenbetrieb der Stadt Dachau),,,,,bna,,,Brunngartenstraße 3 - 85221 Dachau,
Stadtwerke Deggendorf GmbH,,,,,bna,,,Graflinger Straße 36 - 94469 Deggendorf,
Stadtwerke Deidesheim GmbH,,,true,false,false,,,,
Stadtwerke Delmenhorst GmbH,,,true,false,true,,,Fischstraße 32-34 - 27749 Delmenhorst,
Stadtwerke Diez GmbH,,,,,bna,,,Oraniensteiner Straße 5 - 65582 Diez,
Stadtwerke Dorfen GmbH,,,,,bna,,,Haager Straße 31 - 84405 Dorfen,
Stadtwerke Dreieich GmbH,,,,,bna,,,Eisenbahnstraße 140 - 63303 Dreieich,
Stadtwerke Düsseldorf AG,,,,,bna,,,Höherweg 100 - 40233 Düsseldorf,
Stadtwerke Einbeck GmbH,,,,true,false,,,,
Stadtwerke Eisenberg Energie GmbH,,,,,bna,,,Etzdorfer Straße 2 - 7607 Eisenberg,
Stadtwerke Eisenberg GmbH,,,,,bna,,,Etzdorfer Straße 2 - 7607 Eisenberg,
Stadtwerke Elm-Lappwald GmbH,,,,,bna,,,Marktstraße 18 - 38154 Königslutter am Elm,
Stadtwerke Emden GmbH,,,,true,false,,,,
Stadtwerke Energie Verbund SEV GmbH,,,,,bna,,,Poststraße 4 - 59174 Kamen,
Stadtwerke Eppingen GmbH & Co. KG,,,,,bna,,,Marktplatz 1 - 5 - 75031 Eppingen,
Stadtwerke Espelkamp Anstalt öffentlichen Rechts,,,,,bna,,,Wilhelm-Kern-Platz 1 - 32339 Espelkamp,
Stadtwerke Ettlingen GmbH,true,,false,false,false,Tel. 07243 / 101-619,www.sw-ettlingen.de,,
Stadtwerke Eutin GmbH,true,,false,false,false,Tel. 04521 / 705300,www.stadtwerke-eutin.de/,,
Stadtwerke Finsterwalde GmbH,,,,,bna,,,Langer Damm 14 - 3238 Finsterwalde,
Stadtwerke Flensburg GmbH,true,,false,false,false,Tel. 0461 / 487 44 55,www.stadtwerke-flensburg.de,,
Stadtwerke Forchheim,,,,,bna,,,Haidfeldsraße 8 - 91301 Forchheim,
Stadtwerke Forst GmbH,,,,,bna,,,Euloer Straße 90 - 3149 Forst (Lausitz),
Stadtwerke Frankenthal GmbH,true,,false,false,true,Tel. 06233 / 602-0,www.swift-energy.de,Wormser Straße 111 - 67227 Frankenthal (Pfalz),
Stadtwerke Frankfurt (Oder) GmbH,,,,,bna,,,Karl-Marx-Straße 195 - 15230 Frankfurt (Oder),
Stadtwerke Freiberg a.N. Vertriebs-GmbH,,,,,bna,,,Marktplatz 2 - 71691 Freiberg am Neckar,
Stadtwerke Freudenstadt GmbH & Co. KG,,,,,bna,,,Reichsstraße 9 - 72250 Freudenstadt,
Stadtwerke Garbsen GmbH,,,,true,true,,,Kochslandweg 20-22 - 30823 Garbsen,
Stadtwerke Geldern GmbH,true,,false,false,false,Tel. 02831 / 9333-43,www.swgeldern.de,,
Stadtwerke Gelnhausen GmbH,,,,,bna,,,Philipp-Reis-Straße 1-3 - 63571 Gelnhausen,
Stadtwerke Georgsmarienhütte GmbH,,,,true,true,,,Malberger Straße 13 - 49124 Georgsmarienhütte,
Stadtwerke Gescher GmbH,,,,,bna,,,Inselstraße 5 - 48712 Gescher,
Stadtwerke Gießen AG,,,,,bna,,,Lahnstraße 31 - 35398 Gießen,
Stadtwerke Gifhorn GmbH,,,,,bna,,,Torstraße 7 - 38505 Gifhorn,
Stadtwerke Gotha GmbH,,,,,bna,,,Pfullendorfer Straße 83 - 99867 Gotha,
Stadtwerke Göttingen AG,,,,,bna,,,Hildebrandstraße 1 - 37081 Göttingen,
Stadtwerke Greifswald GmbH,,,,,bna,,,Gützkower Landstraße 19-21 - 17489 Greifswald,
Stadtwerke Greven GmbH,,,,,bna,,,Saerbecker Straße 77-81 - 48268 Greven,
Stadtwerke Grevesmühlen GmbH,,,,,bna,,,Grüner Weg 26 - 23936 Grevesmühlen,
Stadtwerke Grimma GmbH,,,,,bna,,,Lange Straße 17 - 4668 Grimma,
Stadtwerke Groß-Gerau Versorgungs GmbH,,,,,bna,,,Darmstädter Straße 53 - 64521 Groß-Gerau,
Stadtwerke Güstrow GmbH,,,,,bna,,,Glasewitzer Chaussee 56 - 18273 Güstrow,
Stadtwerke Haan GmbH,,,,,bna,,,Leichlinger Straße 2 - 42781 Haan,
Stadtwerke Haltern am See GmbH,,,,,bna,,,Recklinghäuser Straße 49a - 45721 Haltern am See,
Stadtwerke Hannover AG,,,,true,false,,,,
Stadtwerke Harsewinkel GmbH,,,,,bna,,,Münsterstraße 8 - 33428 Harsewinkel,
Stadtwerke Hattingen GmbH,,,,,bna,,,Gasstraße 1 - 45525 Hattingen,
Stadtwerke Hechingen,,,,,bna,,,Alte Rottenburger Straße 5 - 72379 Hechingen,
Stadtwerke Heidelberg Energie GmbH,true,,false,false,true,Tel. 06221 / 513-0,www.hvv-heidelberg.de,Kurfürsten-Anlage 42-50 - 69115 Heidelberg,
"Stadtwerke Heiligenhafen
Eigenbetrieb der Stadt Heiligenhafen",,,,,bna,,,Am Jachthafen 4a - 23774 Heiligenhafen,
Stadtwerke Herborn GmbH,,,,,bna,,,Walkmühlenweg 12 - 35745 Herborn,
Stadtwerke Herford GmbH,,,,,bna,,,Werrestraße 103 - 32049 Herford,
Stadtwerke Herrenberg,,,,,bna,,,Stuttgarter Straße 92 - 71083 Herrenberg,
Stadtwerke Hilden GmbH,,,,,bna,,,Am Feuerwehrhaus 1 - 40724 Hilden,
"Stadtwerke Hollfeld, Eigenbetrieb",,,,,bna,,,Marienplatz 18 - 96142 Hollfeld,
Stadtwerke Holzminden GmbH,,,,,bna,,,Rehwiese 28 - 37603 Holzminden,
Stadtwerke Homburg GmbH,,,,,bna,,,Lessingstraße 3 - 66424 Homburg,
Stadtwerke Iserlohn GmbH,true,,false,false,false,Tel. 0800 / 5892242,www.sauerlandstrom-natur.de,,
Stadtwerke Kaarst GmbH,,,,,bna,,,Am Neumarkt 2 - 41564 Kaarst,
Stadtwerke Kalkar GmbH & Co. KG,,,,,bna,,,Industriepark 4 - 47546 Kalkar,
Stadtwerke Karlsruhe GmbH,true,,false,false,false,Tel. 0800 / 200 300 6,www.stadtwerke-karlsruhe.de,,
Stadtwerke Kiel AG,,,,,bna,,,Uhlenkrog 32 - 24113 Kiel,
Stadtwerke Konstanz GmbH,,,true,false,true,,,Max-Stromeyer-Straße 21-29 - 78467 Konstanz,
Stadtwerke Korschenbroich GmbH,,,,,bna,,,Sebastianusstraße 1 - 41352 Korschenbroich,
Stadtwerke Kulmbach,,,,,bna,,,Hofer Straße 14 - 95326 Kulmbach,
Stadtwerke Külsheim GmbH,,,,,bna,,,Am E-Werk 8 - 97900 Külsheim,
Stadtwerke Lage GmbH,,,,,bna,,,Pivitsheider Straße 21 - 32791 Lage,
Stadtwerke Lambrecht (Pfalz) GmbH,,true,false,false,false,06325 1890,www.sw-lambrecht.de,,regional
Stadtwerke Landsberg KU,,,true,false,true,,,Epfenhauser Straße 12 - 86899 Landsberg am Lech,
Stadtwerke Langenfeld GmbH,true,,false,false,true,Tel. 02173 / 979-542,www.stw-langenfeld.de,Langforter Straße 7 - 40764 Langenfeld,
Stadtwerke Langen GmbH,,,,,bna,,,Weserstraße 14 - 63225 Langen,
Stadtwerke Lauterbach GmbH,,,,,bna,,,Hinter dem Spittel 15 - 36341 Lauterbach,
Stadtwerke Lebach GmbH,,,,,bna,,,Hans-Schardt-Straße 1a - 66822 Lebach,
Stadtwerke Lehrte GmbH,,,,,bna,,,Manskestraße 19 - 31275 Lehrte,
Stadtwerke Leichlingen GmbH,,,,,bna,,,Im Brückerfeld 15 - 42799 Leichlingen,
Stadtwerke Lengerich GmbH,true,,false,false,false,Tel. 054 81 / 80 05-40,www.stadtwerke-lengerich.de,,
Stadtwerke Lindau (B) GmbH & Co. KG,,,true,false,false,,,,
Stadtwerke Lingen GmbH,,,,true,true,,,Waldstraße 31 - 49808 Lingen/Ems,
Stadtwerke Lippstadt,true,,false,false,false,Tel. 02941 / 2829-12,www.stadtwerke-lippstadt.de,,
Stadtwerke Löbau GmbH,,,,,bna,,,Georgewitzer Straße 54 - 2708 Löbau,
Stadtwerke Löffingen,,true,false,false,false,07654 8020,www.stadtwerke-loeffingen.de/index.php?id=420,,regional
Stadtwerke Loitz GmbH,,,true,false,true,,,Lange Straße 83 - 17121 Loitz,
Stadtwerke Lüdenscheid GmbH,true,,false,false,false,Tel. 0800 / 157 1000,www.swls.de,,
Stadtwerke Ludwigsburg GmbH,,,,,bna,,,Gänsfußallee 23 - 71636 Ludwigsburg,
Stadtwerke Ludwigsburg-Kornwestheim GmbH,true,,false,false,false,Tel. 07141 / 910-2577,martina.hailer@swlb.de,,
Stadtwerke Lünen GmbH,,,,,bna,,,Borker Straße 56-58 - 44534 Lünen,
Stadtwerke Malchow,,,,,bna,,,Straße der Jugend 2 - 17213 Malchow,
Stadtwerke Marburg,,,,,bna,,,Am Krekel 55 - 35009 Marburg,
Stadtwerke Menden GmbH,,true,false,false,false,02373 169 2313,naturliebeStrom: www.naturliebe-strom.de E-mobil: daheim: www.stadtwerke-menden.de,,regional
Stadtwerke Metzingen,,,true,false,false,,,,
"Stadtwerke Metzingen
Eigenbetrieb der Stadt Metzingen",,,,,bna,,,Stuttgarter Straße 59 - 72555 Metzingen,
Stadtwerke Mosbach GmbH,,,true,false,true,,,Am Henschelberg 6 - 74821 Mosbach,
Stadtwerke Mühlhausen GmbH,,,,,bna,,,Windeberger Landstrße 73 - 99974 Mühlhausen,
Stadtwerke MüllheimStaufen GmbH,true,,true,false,true,Tel. 07631 / 93608-0,www.sw-muellheimstaufen.de,Marktstraße 1-3 - 79379 Müllheim,
Stadtwerke Munster-Bispingen GmbH,,,,true,false,,,,
Stadtwerke Münster GmbH,,true,false,false,false,0251 6941212,www.stadtwerke-muenster.de/privatkunden/strom/alle-stromprodukte/muensternatuerlich/produktuebersicht.html,,bundesweit
Stadtwerkenergie Ostwestfalen-Lippe GmbH,,,true,false,true,,,Am Gelskamp 10 - 32758 Detmold,
Stadtwerke Neuenhaus GmbH,,,,,bna,,,Berliner Straße 12 - 49828 Neuenhaus,
Stadtwerke Neuffen AG,,,,,bna,,,Bahnhofstraße 32 - 72639 Neuffen,
Stadtwerke Neuruppin GmbH,,,,,bna,,,Heinrich-Rau-Straße 3 - 16816 Neuruppin,
Stadtwerke Neuss Energie und Wasser GmbH,,,,,bna,,,Moselstraße 25-27 - 41464 Neuss,
Stadtwerke Neuss GmbH,,,true,false,true,,,Moselstraße 25-27 - 41464 Neuss,
Stadtwerke Neustadt/Weinstraße GmbH,,true,false,false,false,06321 402271,www.swneustadt.de,,regional
Stadtwerke Neustadt a. d. Aisch GmbH,,,true,false,false,,,,
Stadtwerke Neustadt a. Rbge. GmbH,,,,true,false,,,,
Stadtwerke Neustadt an der Orla GmbH,,,,,bna,,,Ernst-Thälmann-Straße 18 - 7806 Neustadt an der Orla,
Stadtwerke Neustadt an der Weinstraße GmbH,,,true,false,false,,,,
Stadtwerke Norderney GmbH,,,,true,false,,,,
Stadtwerke Northeim GmbH,,,,true,false,,,,
Stadtwerke Oberkirch GmbH,,,,,bna,,,Appenweierer Straße 54 - 77704 Oberkirch,
Stadtwerke Oberursel (Taunus) GmbH,,,,,bna,,,Oberurseler Straße 55-57 - 61440 Oberursel (Taunus),
Stadtwerke Oerlinghausen GmbH,,,,,bna,,,Rathausstraße 23 - 33813 Oerlinghausen,
